trial,response,rt,c_pedestal,condition,wave_length,fix_time,sti_time,presti_time,intersti_time,phase,n_pix,order,c_comparison
1,left,0.8768996830003744,0.005,6,24,120,24,120,240,0.0,142,2,0.0164
2,right,0.8435921860000235,0.0183,3,24,120,24,120,240,0.0,142,2,0.0331
3,right,0.5681815590000951,0.0096,6,24,120,24,120,240,0.0,142,1,0.0315
4,left,0.7969206200000372,0.0096,6,24,120,24,120,240,0.0,142,2,0.0315
5,right,0.5513257180000437,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
6,right,0.9137867029999143,0.005,3,24,120,24,120,240,0.0,142,2,0.0091
7,right,0.8122263509999357,0.0096,1,24,120,24,120,240,0.0,142,2,0.0117
8,right,0.7603374090003854,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
9,left,0.9848186280005393,0.0183,5,24,120,24,120,240,0.0,142,2,0.0493
10,right,0.5387781780000296,0.0096,2,24,120,24,120,240,0.0,142,1,0.0143
11,right,0.6807712350000656,0.005,1,24,120,24,120,240,0.0,142,1,0.0061
12,left,0.5646156940001674,0.0183,6,24,120,24,120,240,0.0,142,2,0.06
13,right,0.5258670329999404,0.0096,7,24,120,24,120,240,0.0,142,1,0.0384
14,left,3.1312362500002564,0.005,2,24,120,24,120,240,0.0,142,1,0.0074
15,left,0.5836433760000546,0.0183,7,24,120,24,120,240,0.0,142,2,0.0732
16,right,0.6395552580002004,0.035,2,24,120,24,120,240,0.0,142,1,0.052
17,right,0.5974974870000551,0.035,3,24,120,24,120,240,0.0,142,1,0.0634
18,left,0.6384029690002535,0.005,4,24,120,24,120,240,0.0,142,2,0.011
19,right,0.6853339290000804,0.035,7,24,120,24,120,240,0.0,142,1,0.14
20,right,0.6056629920003616,0.035,6,24,120,24,120,240,0.0,142,1,0.1148
21,left,0.5686004560002402,0.0183,1,24,120,24,120,240,0.0,142,2,0.0223
22,left,0.6975010510004722,0.0096,1,24,120,24,120,240,0.0,142,1,0.0117
23,right,0.6014093650001087,0.005,6,24,120,24,120,240,0.0,142,1,0.0164
24,left,0.41860810800017134,0.035,6,24,120,24,120,240,0.0,142,2,0.1148
25,left,0.7883687260000443,0.0096,3,24,120,24,120,240,0.0,142,2,0.0174
26,right,0.5769568790005906,0.0096,4,24,120,24,120,240,0.0,142,2,0.0212
27,right,0.47197354500030997,0.0183,2,24,120,24,120,240,0.0,142,1,0.0272
28,right,0.6183148470004198,0.0096,3,24,120,24,120,240,0.0,142,1,0.0174
29,right,0.5310928890003197,0.005,5,24,120,24,120,240,0.0,142,2,0.0135
30,left,0.6057014500001969,0.035,2,24,120,24,120,240,0.0,142,2,0.052
31,left,0.5055814700003793,0.0096,7,24,120,24,120,240,0.0,142,2,0.0384
32,right,0.5269101900003079,0.0183,6,24,120,24,120,240,0.0,142,1,0.06
33,right,0.4522080710003138,0.0183,7,24,120,24,120,240,0.0,142,1,0.0732
34,right,1.5190370950003853,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
35,right,0.5399568379998527,0.0183,3,24,120,24,120,240,0.0,142,1,0.0331
36,right,0.5058548020001581,0.0096,5,24,120,24,120,240,0.0,142,1,0.0258
37,left,0.6091402810002364,0.0183,2,24,120,24,120,240,0.0,142,2,0.0272
38,left,0.46011102800002845,0.0096,5,24,120,24,120,240,0.0,142,2,0.0258
39,right,0.5139523299999382,0.005,2,24,120,24,120,240,0.0,142,2,0.0074
40,right,0.5220542600000044,0.005,5,24,120,24,120,240,0.0,142,1,0.0135
41,right,0.694141750000199,0.005,3,24,120,24,120,240,0.0,142,1,0.0091
42,right,0.7642298569999184,0.035,1,24,120,24,120,240,0.0,142,1,0.0427
43,left,0.5179278040004647,0.0096,2,24,120,24,120,240,0.0,142,2,0.0143
44,left,0.4605781730006129,0.035,5,24,120,24,120,240,0.0,142,2,0.0942
45,left,0.5607069430002412,0.035,7,24,120,24,120,240,0.0,142,2,0.14
46,left,0.48862318600004073,0.005,7,24,120,24,120,240,0.0,142,2,0.02
47,right,0.5972901400004957,0.005,7,24,120,24,120,240,0.0,142,1,0.02
48,right,0.8229757799999788,0.005,4,24,120,24,120,240,0.0,142,1,0.011
49,right,1.2052739499999916,0.0183,1,24,120,24,120,240,0.0,142,1,0.0223
50,left,0.718387125999925,0.035,4,24,120,24,120,240,0.0,142,2,0.0773
51,right,0.535119911000038,0.0183,5,24,120,24,120,240,0.0,142,1,0.0493
52,right,0.5100253040000098,0.035,4,24,120,24,120,240,0.0,142,1,0.0773
53,right,0.8676945629999864,0.035,1,24,120,24,120,240,0.0,142,2,0.0427
54,left,1.0751838959999986,0.035,3,24,120,24,120,240,0.0,142,2,0.0634
55,right,0.5934105179999278,0.035,5,24,120,24,120,240,0.0,142,1,0.0942
56,left,0.6349454270002752,0.0183,4,24,120,24,120,240,0.0,142,2,0.0404
57,left,0.6436747070001729,0.005,2,24,120,24,120,240,0.0,142,2,0.0074
58,left,0.6051106330000948,0.0183,2,24,120,24,120,240,0.0,142,2,0.0272
59,right,0.8472964229999889,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
60,right,0.6760528120003073,0.035,6,24,120,24,120,240,0.0,142,1,0.1148
61,right,0.4522053940004298,0.0096,5,24,120,24,120,240,0.0,142,1,0.0258
62,right,0.4559485540003152,0.005,3,24,120,24,120,240,0.0,142,2,0.0091
