trial,response,rt,c_pedestal,condition,wave_length,fix_time,sti_time,presti_time,intersti_time,phase,n_pix,order,c_comparison
1,right,0.8965544320017216,0.005,3,24,120,24,120,240,0.0,142,1,0.0091
2,left,0.47269715200127393,0.0183,6,24,120,24,120,240,0.0,142,2,0.06
3,right,0.6312800430005154,0.0096,5,24,120,24,120,240,0.0,142,1,0.0258
4,left,0.592783120000604,0.005,4,24,120,24,120,240,0.0,142,2,0.011
5,left,0.9354147010017186,0.0183,1,24,120,24,120,240,0.0,142,2,0.0223
6,right,0.6769764060009038,0.0183,2,24,120,24,120,240,0.0,142,1,0.0272
7,right,0.6437653320008394,0.035,1,24,120,24,120,240,0.0,142,1,0.0427
8,left,0.6843626030004089,0.005,3,24,120,24,120,240,0.0,142,2,0.0091
9,right,0.5931770240003971,0.0096,3,24,120,24,120,240,0.0,142,1,0.0174
10,right,0.6258930980020523,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
11,left,0.49772187900089193,0.0183,5,24,120,24,120,240,0.0,142,2,0.0493
12,right,0.5725976060002722,0.035,5,24,120,24,120,240,0.0,142,1,0.0942
13,right,0.5472126380009286,0.0183,3,24,120,24,120,240,0.0,142,1,0.0331
14,right,0.5674512720015628,0.005,2,24,120,24,120,240,0.0,142,1,0.0074
15,right,0.7057057019992499,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
16,right,0.7508728190005058,0.035,4,24,120,24,120,240,0.0,142,1,0.0773
17,left,0.6395170760006295,0.0096,3,24,120,24,120,240,0.0,142,2,0.0174
18,left,0.885508433000723,0.0096,1,24,120,24,120,240,0.0,142,2,0.0117
19,left,0.5061384600012389,0.0183,7,24,120,24,120,240,0.0,142,2,0.0732
20,right,0.5352108560000488,0.0096,7,24,120,24,120,240,0.0,142,1,0.0384
21,right,0.4933333320004749,0.0183,5,24,120,24,120,240,0.0,142,1,0.0493
22,right,0.5478377730014472,0.0183,7,24,120,24,120,240,0.0,142,1,0.0732
