trial,response,c,wave_length,fix_time,presti_time,sti_time,phase,n_pix
1,0,0.007727623028570648,24,120,120,24,0.0,142
2,0,0.009769133416679317,24,120,120,24,0.0,142
3,4,0.05126240541841049,24,120,120,24,0.0,142
4,3,0.037922788557465344,24,120,120,24,0.0,142
5,4,0.05212800831622603,24,120,120,24,0.0,142
6,7,0.08760074712281693,24,120,120,24,0.0,142
7,2,0.009606913710464453,24,120,120,24,0.0,142
8,6,0.05041117614431297,24,120,120,24,0.0,142
9,6,0.03856314234891653,24,120,120,24,0.0,142
10,8,0.04559255436394559,24,120,120,24,0.0,142
11,10,0.07286419146635159,24,120,120,24,0.0,142
12,1,0.008402464428661972,24,120,120,24,0.0,142
13,6,0.059600285373907075,24,120,120,24,0.0,142
14,0,0.007349020778444833,24,120,120,24,0.0,142
15,0,0.011744910206528297,24,120,120,24,0.0,142
16,0,0.006758786387864296,24,120,120,24,0.0,142
17,8,0.07165425735765431,24,120,120,24,0.0,142
18,8,0.05481350640339798,24,120,120,24,0.0,142
19,0,0.008262938715073996,24,120,120,24,0.0,142
20,2,0.0419308020909158,24,120,120,24,0.0,142
21,1,0.027588583151882506,24,120,120,24,0.0,142
22,2,0.03261751767518438,24,120,120,24,0.0,142
23,3,0.031543262097012435,24,120,120,24,0.0,142
24,7,0.08056511949959808,24,120,120,24,0.0,142
25,0,0.007473114324777792,24,120,120,24,0.0,142
26,0,0.00687291339839569,24,120,120,24,0.0,142
27,1,0.01044587066720999,24,120,120,24,0.0,142
28,1,0.024537162603077825,24,120,120,24,0.0,142
29,8,0.09849470108910297,24,120,120,24,0.0,142
30,3,0.028528155896566276,24,120,120,24,0.0,142
31,2,0.03316828811969904,24,120,120,24,0.0,142
32,1,0.00785810954850977,24,120,120,24,0.0,142
33,1,0.0129862155231348,24,120,120,24,0.0,142
34,1,0.018770244352010586,24,120,120,24,0.0,142
35,2,0.019737238045636582,24,120,120,24,0.0,142
36,5,0.06480508636883985,24,120,120,24,0.0,142
37,8,0.11841494744408741,24,120,120,24,0.0,142
38,3,0.0207540487147892,24,120,120,24,0.0,142
39,3,0.022191744083003367,24,120,120,24,0.0,142
40,6,0.06814367422408235,24,120,120,24,0.0,142
41,1,0.006988967526280012,24,120,120,24,0.0,142
42,1,0.01277057509965475,24,120,120,24,0.0,142
43,7,0.05573907221707652,24,120,120,24,0.0,142
44,10,0.09058412883391864,24,120,120,24,0.0,142
45,3,0.01669417147046785,24,120,120,24,0.0,142
46,0,0.008984528408403115,24,120,120,24,0.0,142
47,3,0.02623692564730855,24,120,120,24,0.0,142
48,2,0.02256646777825411,24,120,120,24,0.0,142
49,1,0.00621595649460751,24,120,120,24,0.0,142
50,3,0.02537281440465115,24,120,120,24,0.0,142
51,3,0.033728358722661424,24,120,120,24,0.0,142
52,6,0.06372897637795434,24,120,120,24,0.0,142
53,5,0.031019475749525433,24,120,120,24,0.0,142
54,8,0.07409455619007968,24,120,120,24,0.0,142
55,4,0.024129714865490204,24,120,120,24,0.0,142
56,3,0.02900987450129902,24,120,120,24,0.0,142
57,7,0.1224477553838469,24,120,120,24,0.0,142
58,9,0.07534569651459232,24,120,120,24,0.0,142
59,0,0.008688623617116243,24,120,120,24,0.0,142
60,5,0.0305043870483684,24,120,120,24,0.0,142
61,4,0.032075892956896404,24,120,120,24,0.0,142
62,0,0.015876267846114376,24,120,120,24,0.0,142
63,0,0.008544346135126522,24,120,120,24,0.0,142
64,11,0.12041446972197614,24,120,120,24,0.0,142
65,0,0.010101836674652361,24,120,120,24,0.0,142
66,5,0.03487703121534678,24,120,120,24,0.0,142
67,3,0.015353384116454717,24,120,120,24,0.0,142
68,2,0.022947518954898705,24,120,120,24,0.0,142
69,4,0.05300822754682168,24,120,120,24,0.0,142
70,1,0.005528443936470685,24,120,120,24,0.0,142
71,0,0.005257586868740583,24,120,120,24,0.0,142
72,1,0.015098436071982023,24,120,120,24,0.0,142
73,9,0.12875594216257452,24,120,120,24,0.0,142
74,13,0.12451537454892805,24,120,120,24,0.0,142
75,0,0.006112738471739894,24,120,120,24,0.0,142
76,3,0.0181520477160925,24,120,120,24,0.0,142
77,3,0.04054981416620749,24,120,120,24,0.0,142
78,3,0.02713046556223616,24,120,120,24,0.0,142
79,3,0.028054436389317927,24,120,120,24,0.0,142
80,8,0.1018490935973961,24,120,120,24,0.0,142
81,1,0.016144350144280506,24,120,120,24,0.0,142
82,1,0.00508442862666611,24,120,120,24,0.0,142
83,2,0.014847721524495233,24,120,120,24,0.0,142
84,2,0.014601170175370317,24,120,120,24,0.0,142
85,1,0.005346365036521689,24,120,120,24,0.0,142
86,2,0.016976064664583873,24,120,120,24,0.0,142
87,3,0.018458558208061967,24,120,120,24,0.0,142
88,8,0.08192551997890646,24,120,120,24,0.0,142
89,1,0.0058132548489913515,24,120,120,24,0.0,142
90,0,0.007599303280649753,24,120,120,24,0.0,142
91,10,0.11451495974123634,24,120,120,24,0.0,142
92,7,0.01785062693268143,24,120,120,24,0.0,142
93,5,0.010622256770162854,24,120,120,24,0.0,142
94,3,0.020070515626111615,24,120,120,24,0.0,142
95,1,0.021460860601681064,24,120,120,24,0.0,142
96,0,0.005436642288059534,24,120,120,24,0.0,142
97,1,0.019409494650118063,24,120,120,24,0.0,142
98,3,0.021104495880939423,24,120,120,24,0.0,142
99,5,0.05763735429922662,24,120,120,24,0.0,142
100,4,0.041234527190531244,24,120,120,24,0.0,142
101,8,0.06589936725745978,24,120,120,24,0.0,142
102,1,0.010801621280402778,24,120,120,24,0.0,142
103,0,0.01342848159004205,24,120,120,24,0.0,142
104,9,0.06929432959022673,24,120,120,24,0.0,142
105,10,0.13538911015725477,24,120,120,24,0.0,142
106,0,0.005716723820748316,24,120,120,24,0.0,142
107,9,0.10356888941731932,24,120,120,24,0.0,142
108,8,0.06701212587260232,24,120,120,24,0.0,142
109,0,0.01755421134152708,24,120,120,24,0.0,142
110,5,0.043358821739132726,24,120,120,24,0.0,142
111,1,0.017262717829749048,24,120,120,24,0.0,142
112,12,0.13767525348447945,24,120,120,24,0.0,142
113,4,0.02667995516737716,24,120,120,24,0.0,142
114,4,0.03729306805348112,24,120,120,24,0.0,142
115,7,0.05390330991757823,24,120,120,24,0.0,142
116,9,0.06267073555100906,24,120,120,24,0.0,142
117,10,0.12661790696332448,24,120,120,24,0.0,142
118,0,0.008125729872318079,24,120,120,24,0.0,142
119,0,0.0064276507042130065,24,120,120,24,0.0,142
